time(s), x(g), y(g), z(g)
201, 0.02, -1.07, -0.12

254, 0.02, -1.07, -0.11

308, 0.03, -1.07, -0.12

361, 0.03, -1.07, -0.12

414, 0.02, -1.07, -0.12

467, 0.02, -1.07, -0.12

521, 0.02, -1.07, -0.12

575, 0.02, -1.07, -0.12

628, 0.02, -1.07, -0.12

681, 0.02, -1.06, -0.12

735, 0.02, -1.07, -0.12

788, 0.03, -1.07, -0.12

841, 0.02, -1.07, -0.12

894, 0.02, -1.07, -0.12

948, 0.03, -1.07, -0.12

1001, 0.02, -1.06, -0.12

1054, 0.02, -1.07, -0.12

1107, 0.03, -1.07, -0.12

1161, 0.03, -1.07, -0.12

1214, 0.02, -1.07, -0.11

1267, 0.03, -1.07, -0.12

1320, 0.02, -1.07, -0.11

1374, 0.03, -1.07, -0.12

1427, 0.02, -1.07, -0.12

1480, 0.02, -1.07, -0.12

1534, 0.02, -1.07, -0.12

1588, 0.02, -1.07, -0.12

1641, 0.02, -1.07, -0.12

1694, 0.03, -1.07, -0.12

1747, 0.02, -1.07, -0.12

1801, 0.02, -1.07, -0.12

1854, 0.02, -1.07, -0.12

1907, 0.02, -1.07, -0.12

1960, 0.02, -1.07, -0.12

2014, 0.03, -1.07, -0.12

2067, 0.02, -1.07, -0.12

2120, 0.03, -1.07, -0.12

2173, 0.02, -1.07, -0.12

2228, 0.03, -1.07, -0.12

2281, 0.02, -1.07, -0.12

2334, 0.02, -1.07, -0.12

2387, 0.02, -1.07, -0.12

2441, 0.02, -1.07, -0.12

2494, 0.03, -1.07, -0.12

2547, 0.02, -1.07, -0.12

2600, 0.02, -1.07, -0.12

2654, 0.02, -1.07, -0.12

2707, 0.02, -1.07, -0.12

2760, 0.03, -1.07, -0.12

2813, 0.02, -1.07, -0.11

2867, 0.03, -1.07, -0.12

2920, 0.02, -1.07, -0.12

2974, 0.03, -1.07, -0.12

3027, 0.02, -1.07, -0.12

3081, 0.03, -1.07, -0.12

3134, 0.02, -1.07, -0.12

3187, 0.02, -1.07, -0.12

3240, 0.02, -1.07, -0.12

3294, 0.02, -1.07, -0.12

3347, 0.02, -1.07, -0.12

3400, 0.02, -1.07, -0.12

3453, 0.02, -1.07, -0.12

3507, 0.02, -1.07, -0.12

3560, 0.02, -1.07, -0.12

3614, 0.02, -1.07, -0.12

3667, 0.03, -1.07, -0.11

3721, 0.02, -1.07, -0.12

3774, 0.03, -1.07, -0.12

3827, 0.02, -1.07, -0.12

3880, 0.02, -1.07, -0.12

3934, 0.02, -1.07, -0.12

3987, 0.02, -1.07, -0.12

4040, 0.02, -1.07, -0.12

4093, 0.02, -1.06, -0.12

4147, 0.02, -1.07, -0.12

4200, 0.03, -1.07, -0.12

4253, 0.02, -1.07, -0.12

4306, 0.02, -1.07, -0.12

4361, 0.02, -1.07, -0.12

4414, 0.02, -1.07, -0.12

4467, 0.02, -1.07, -0.12

4520, 0.03, -1.07, -0.12

4574, 0.02, -1.07, -0.12

4627, 0.02, -1.07, -0.12

4680, 0.02, -1.07, -0.12

4733, 0.02, -1.07, -0.12

4787, 0.03, -1.07, -0.12

4840, 0.02, -1.07, -0.12

4893, 0.02, -1.07, -0.12

4946, 0.02, -1.07, -0.12

5000, 0.03, -1.07, -0.12

5054, 0.02, -1.07, -0.12

5107, 0.03, -1.06, -0.12

5160, 0.02, -1.07, -0.12

5214, 0.18, -1.13, -0.01

5267, 0.05, -1.04, -0.19

5320, -0.07, -1.03, -0.12

5373, 0.05, -1.11, -0.07

5427, -0.08, -1.04, -0.04

5480, 0.01, -1.12, -0.15

5533, 0.01, -1.03, -0.15

5586, 0.23, -1.12, -0.12

5640, -0.07, -1.09, -0.18

5693, 0.00, -1.05, -0.10

5747, -0.08, -1.06, -0.03

5800, -0.00, -1.10, -0.19

5854, -0.17, -1.11, -0.20

5907, -0.01, -1.04, -0.16

5960, -0.01, -1.07, -0.15

6013, -0.04, -1.04, -0.08

6067, -0.30, -1.00, -0.04

6120, 0.15, -1.07, -0.13

6173, -0.09, -1.09, -0.18

6226, -0.12, -1.09, -0.12

6280, 0.29, -1.13, -0.21

6333, -0.08, -1.05, -0.07

6387, -0.15, -1.02, -0.07

6440, 0.02, -1.08, -0.16

6494, -0.09, -1.09, -0.19

6547, 0.20, -1.11, -0.19

6600, -0.37, -1.03, -0.16

6653, 0.14, -1.14, -0.01

6707, 0.20, -1.07, -0.06

6760, 0.13, -1.05, -0.03

6813, 0.31, -1.13, -0.04

6866, 0.08, -1.07, -0.18

6920, -0.06, -1.07, -0.08

6973, 0.20, -1.03, -0.16

7026, -0.11, -1.07, -0.02

7080, -0.04, -1.09, -0.07

7134, -0.13, -1.03, -0.14

7187, 0.19, -1.09, -0.12

7240, 0.05, -1.07, -0.11

7293, 0.14, -0.98, -0.04

7347, -0.08, -1.07, -0.06

7400, 0.15, -1.08, -0.07

7453, 0.04, -1.09, -0.14

7506, 0.10, -1.01, -0.12

7560, 0.22, -1.09, -0.17

7613, -0.20, -1.08, -0.04

7666, -0.03, -1.01, -0.05

7720, -0.13, -1.07, -0.07

7774, -0.05, -1.07, -0.13

7827, 0.20, -1.18, -0.19

7880, 0.01, -1.04, -0.19

7933, 0.27, -1.13, -0.18

7987, -0.03, -1.07, -0.03

8040, -0.26, -1.04, -0.10

8093, -0.07, -1.04, -0.08

8146, 0.12, -1.08, -0.16

8200, 0.33, -1.10, -0.12

8253, -0.06, -1.09, -0.00

8306, -0.19, -1.04, -0.10

8359, 0.17, -1.08, -0.04

8414, 0.15, -1.05, -0.18

8467, -0.21, -1.05, -0.05

8520, 0.27, -1.15, -0.16

8573, 0.16, -1.11, -0.15

8627, -0.11, -0.97, -0.07

8680, -0.17, -1.06, -0.05

8733, -0.11, -1.04, -0.09

8786, 0.21, -1.12, -0.19

8840, 0.22, -1.09, -0.14

8893, -0.17, -1.02, -0.05

8946, 0.07, -1.08, -0.14

8999, -0.05, -1.06, -0.13

9054, -0.07, -1.12, -0.17

