time(s), x(g), y(g), z(g)
201, 0.02, -1.07, -0.11

254, 0.02, -1.07, -0.12

308, 0.02, -1.07, -0.12

361, 0.02, -1.07, -0.12

414, 0.02, -1.07, -0.12

467, 0.02, -1.07, -0.12

522, 0.02, -1.07, -0.12

575, 0.02, -1.07, -0.12

628, 0.01, -1.07, -0.12

681, 0.02, -1.06, -0.12

735, 0.02, -1.07, -0.12

788, 0.02, -1.07, -0.12

841, 0.02, -1.06, -0.12

894, 0.01, -1.07, -0.12

948, 0.02, -1.07, -0.12

1001, 0.02, -1.07, -0.12

1054, 0.02, -1.07, -0.12

1107, 0.02, -1.07, -0.12

1161, 0.01, -1.07, -0.12

1214, 0.02, -1.07, -0.12

1267, 0.02, -1.07, -0.12

1320, 0.01, -1.07, -0.12

1374, 0.02, -1.07, -0.12

1427, 0.02, -1.07, -0.12

1481, 0.02, -1.07, -0.12

1534, 0.02, -1.07, -0.12

1588, 0.02, -1.07, -0.12

1641, 0.02, -1.07, -0.12

1694, 0.02, -1.07, -0.12

1747, 0.02, -1.07, -0.12

1801, 0.02, -1.07, -0.12

1854, 0.01, -1.07, -0.12

1907, 0.02, -1.06, -0.11

1960, 0.02, -1.07, -0.11

2014, 0.02, -1.07, -0.12

2067, 0.02, -1.07, -0.12

2120, 0.02, -1.07, -0.12

2174, 0.02, -1.07, -0.12

2228, 0.02, -1.07, -0.12

2281, 0.01, -1.07, -0.11

2334, 0.02, -1.07, -0.12

2387, 0.02, -1.07, -0.12

2441, 0.02, -1.06, -0.12

2494, 0.02, -1.07, -0.12

2547, 0.02, -1.06, -0.12

2600, 0.01, -1.06, -0.12

2654, 0.02, -1.06, -0.12

2707, 0.02, -1.07, -0.12

2760, 0.02, -1.07, -0.12

2813, 0.02, -1.07, -0.12

2868, 0.02, -1.07, -0.12

2921, 0.02, -1.07, -0.12

2974, 0.01, -1.06, -0.11

3027, 0.01, -1.07, -0.12

3081, 0.02, -1.07, -0.12

3134, 0.02, -1.06, -0.11

3187, 0.02, -1.07, -0.12

3240, 0.02, -1.07, -0.12

3294, 0.02, -1.07, -0.12

3347, 0.02, -1.07, -0.12

3400, 0.02, -1.07, -0.12

3453, 0.02, -1.07, -0.12

3507, 0.01, -1.07, -0.12

3561, 0.02, -1.07, -0.12

3614, 0.02, -1.07, -0.12

3667, 0.02, -1.07, -0.12

3721, 0.02, -1.07, -0.12

3774, 0.02, -1.07, -0.12

3827, 0.02, -1.07, -0.12

3880, 0.01, -1.07, -0.12

3934, 0.02, -1.07, -0.12

3987, 0.02, -1.07, -0.12

4040, 0.01, -1.07, -0.12

4093, 0.02, -1.07, -0.12

4147, 0.02, -1.07, -0.12

4200, 0.02, -1.07, -0.12

4254, 0.01, -1.07, -0.12

4307, 0.02, -1.06, -0.12

4361, 0.01, -1.06, -0.12

4414, 0.02, -1.07, -0.12

4467, 0.02, -1.07, -0.12

4520, 0.02, -1.07, -0.12

4574, 0.01, -1.07, -0.12

4627, 0.02, -1.07, -0.12

4680, 0.01, -1.07, -0.12

4733, 0.02, -1.07, -0.11

4787, 0.02, -1.07, -0.12

4840, 0.02, -1.07, -0.12

4894, 0.02, -1.06, -0.12

4947, 0.02, -1.07, -0.12

5001, 0.02, -1.07, -0.12

5054, 0.02, -1.07, -0.12

5107, 0.01, -1.07, -0.12

5160, 0.02, -1.07, -0.12

5214, 0.02, -1.07, -0.12

5267, 0.01, -1.07, -0.12

5320, 0.02, -1.07, -0.12

5373, 0.02, -1.07, -0.12

5427, 0.02, -1.07, -0.12

5480, 0.02, -1.07, -0.12

5533, 0.02, -1.07, -0.12

5587, 0.02, -1.07, -0.12

5641, 0.02, -1.06, -0.12

5694, 0.02, -1.06, -0.12

5747, 0.01, -1.06, -0.12

5800, 0.02, -1.07, -0.12

5854, 0.02, -1.07, -0.12

5907, 0.01, -1.07, -0.12

5960, 0.01, -1.07, -0.12

6013, 0.02, -1.07, -0.11

6067, 0.02, -1.07, -0.12

6120, 0.02, -1.07, -0.12

6173, 0.02, -1.07, -0.12

6227, 0.02, -1.07, -0.13

6281, 0.02, -1.07, -0.12

6334, 0.01, -1.06, -0.13

6387, 0.01, -1.07, -0.12

6440, 0.02, -1.07, -0.11

6494, 0.00, -1.07, -0.06

6547, 0.01, -1.07, -0.04

6600, 0.02, -1.07, -0.10

6653, 0.03, -1.06, -0.16

6707, 0.02, -1.07, -0.28

6760, 0.05, -1.04, -0.39

6813, 0.01, -1.06, -0.26

6866, -0.04, -1.10, 0.05

6921, 0.04, -1.11, 0.08

6974, 0.05, -1.08, 0.07

7027, -0.00, -1.08, 0.03

7080, 0.02, -1.07, -0.12

7134, -0.02, -1.08, -0.10

7187, 0.05, -1.03, -0.27

7240, 0.03, -1.06, -0.26

7293, 0.03, -1.06, -0.27

7347, -0.01, -1.08, -0.13

7400, 0.02, -1.03, -0.03

7453, 0.05, -1.05, 0.02

7506, 0.02, -1.07, 0.04

7560, -0.01, -1.09, -0.04

7614, 0.02, -1.05, -0.28

7667, 0.06, -1.05, -0.31

7720, 0.04, -1.06, -0.27

7774, -0.02, -1.08, -0.09

7827, 0.06, -1.06, 0.02

7880, 0.00, -1.07, 0.03

7933, -0.00, -1.08, -0.03

7987, -0.01, -1.06, -0.16

8040, 0.02, -1.06, -0.25

8093, 0.03, -1.06, -0.23

8146, 0.02, -1.08, -0.07

8200, 0.00, -1.07, 0.00

8253, 0.02, -1.07, -0.04

8306, 0.02, -1.07, -0.11

8360, 0.02, -1.05, -0.21

8414, 0.02, -1.07, -0.20

8467, 0.02, -1.06, -0.15

8520, 0.02, -1.07, -0.08

8573, 0.01, -1.07, -0.07

8627, 0.01, -1.06, -0.10

8680, 0.02, -1.07, -0.12

8733, 0.02, -1.07, -0.15

8786, 0.01, -1.06, -0.14

8840, 0.02, -1.07, -0.12

8893, 0.01, -1.07, -0.11

8946, 0.02, -1.07, -0.11

8999, 0.01, -1.06, -0.12

9054, 0.02, -1.07, -0.13

9107, 0.02, -1.07, -0.12

9160, 0.01, -1.07, -0.11

9213, 0.02, -1.07, -0.12

9267, 0.01, -1.07, -0.12

9320, 0.02, -1.07, -0.12

9373, 0.01, -1.06, -0.12

9426, 0.02, -1.07, -0.11

9480, 0.02, -1.07, -0.11

9533, 0.02, -1.07, -0.12

9586, 0.01, -1.06, -0.12

9639, 0.02, -1.07, -0.12

9693, 0.02, -1.07, -0.12

9747, 0.02, -1.07, -0.12

9800, 0.02, -1.07, -0.12

9853, 0.02, -1.07, -0.12

9907, 0.01, -1.07, -0.12

9960, 0.02, -1.07, -0.12

10013, 0.02, -1.07, -0.12

10066, 0.02, -1.07, -0.12

10120, 0.02, -1.07, -0.12

10173, 0.02, -1.07, -0.12

10226, 0.02, -1.07, -0.12

10280, 0.02, -1.07, -0.12

10334, 0.01, -1.07, -0.12

10387, 0.02, -1.07, -0.13

10440, 0.02, -1.07, -0.12

10493, 0.02, -1.07, -0.12

10547, 0.02, -1.07, -0.11

10600, 0.01, -1.07, -0.12

10653, 0.02, -1.06, -0.12

10707, 0.02, -1.07, -0.12

10761, 0.02, -1.07, -0.12

10814, 0.02, -1.06, -0.12

10867, 0.02, -1.07, -0.12

10920, 0.02, -1.07, -0.12

10974, 0.02, -1.07, -0.12

11027, 0.02, -1.07, -0.11

11080, 0.02, -1.06, -0.14

11133, 0.02, -1.07, -0.14

11188, 0.01, -1.07, -0.11

11241, 0.02, -1.07, -0.07

11294, 0.01, -1.07, 0.04

11347, -0.02, -1.09, 0.01

11401, 0.02, -1.05, -0.15

11454, 0.11, -1.06, -0.44

11507, 0.06, -1.06, -0.40

11560, -0.01, -1.08, -0.14

11615, -0.03, -1.07, 0.19

11668, -0.10, -1.07, 0.26

11721, 0.02, -1.07, -0.11

11774, 0.10, -1.04, -0.58

11828, 0.05, -1.06, -0.46

11881, 0.05, -1.14, 0.08

11934, -0.02, -1.11, 0.33

11987, 0.07, -1.07, 0.23

12042, -0.15, -1.09, 0.11

12095, -0.01, -1.04, -0.22

12148, 0.06, -0.96, -0.65

12201, -0.02, -1.08, -0.33

12255, 0.06, -1.07, -0.24

12308, 0.04, -1.11, 0.14

12361, -0.00, -1.07, 0.28

12414, 0.03, -1.09, 0.03

12469, 0.07, -1.05, -0.47

12522, 0.07, -1.02, -0.55

12575, -0.03, -1.11, -0.14

12628, 0.13, -1.09, 0.28

12682, -0.00, -1.04, 0.10

12735, 0.05, -1.10, 0.00

12788, 0.06, -1.11, -0.13

12841, 0.05, -1.07, -0.23

12896, 0.04, -1.06, -0.26

12949, 0.02, -1.07, -0.20

13002, 0.02, -1.07, -0.12

13056, 0.00, -1.07, -0.10

13109, 0.01, -1.07, -0.07

13162, 0.01, -1.07, -0.12

13215, 0.01, -1.07, -0.12

13268, 0.02, -1.06, -0.13

13322, 0.02, -1.07, -0.12

13376, 0.01, -1.07, -0.12

13429, 0.01, -1.07, -0.13

13483, 0.02, -1.06, -0.12

13536, 0.02, -1.07, -0.12

13589, 0.02, -1.06, -0.13

13642, 0.02, -1.07, -0.12

13696, 0.01, -1.07, -0.12

13749, 0.02, -1.07, -0.12

13803, 0.02, -1.07, -0.12

13856, 0.02, -1.07, -0.12

13910, 0.02, -1.07, -0.12

13963, 0.02, -1.06, -0.12

14016, 0.01, -1.07, -0.12

14069, 0.02, -1.07, -0.12

14123, 0.02, -1.07, -0.12

14176, 0.02, -1.07, -0.12

14230, 0.02, -1.07, -0.12

14283, 0.02, -1.07, -0.12

14337, 0.02, -1.06, -0.13

14390, 0.01, -1.07, -0.12

14443, 0.02, -1.06, -0.12

14496, 0.02, -1.07, -0.12

14550, 0.02, -1.07, -0.12

14603, 0.02, -1.07, -0.12

14657, 0.01, -1.07, -0.12

14710, 0.02, -1.07, -0.12

14764, 0.02, -1.07, -0.12

14817, 0.02, -1.07, -0.11

14870, 0.02, -1.07, -0.12

14923, 0.01, -1.07, -0.12

14977, 0.02, -1.07, -0.12

15030, 0.02, -1.07, -0.11

15084, 0.02, -1.07, -0.12

15137, 0.02, -1.07, -0.12

15191, 0.01, -1.07, -0.12

15244, 0.02, -1.07, -0.12

15297, 0.02, -1.07, -0.12

15350, 0.02, -1.07, -0.12

15404, 0.02, -1.07, -0.12

15457, 0.02, -1.07, -0.12

15511, 0.01, -1.07, -0.12

15564, 0.01, -1.07, -0.12

15618, 0.01, -1.07, -0.12

15671, 0.02, -1.07, -0.11

15724, 0.02, -1.06, -0.12

15777, 0.02, -1.07, -0.12

15831, 0.01, -1.07, -0.12

15884, 0.02, -1.07, -0.12

15938, 0.02, -1.07, -0.12

15991, 0.02, -1.07, -0.12

16045, 0.02, -1.07, -0.11

16098, 0.02, -1.07, -0.12

16151, 0.02, -1.07, -0.12

16204, 0.02, -1.07, -0.12

16258, 0.02, -1.07, -0.12

16311, 0.01, -1.07, -0.12

16364, 0.02, -1.07, -0.11

16418, 0.02, -1.07, -0.12

16472, 0.02, -1.07, -0.12

16525, 0.02, -1.07, -0.12

16578, 0.01, -1.07, -0.12

16631, 0.02, -1.06, -0.12

16685, 0.02, -1.07, -0.11

16738, 0.02, -1.07, -0.12

16791, 0.02, -1.07, -0.12

16845, 0.02, -1.07, -0.12

16899, 0.02, -1.07, -0.11

16952, 0.02, -1.07, -0.12

17005, 0.02, -1.07, -0.12

17058, 0.02, -1.07, -0.12

17112, 0.02, -1.07, -0.12

17165, 0.02, -1.06, -0.12

17218, 0.02, -1.07, -0.12

17272, 0.02, -1.07, -0.11

17326, 0.01, -1.06, -0.12

17379, 0.01, -1.07, -0.12

17432, 0.02, -1.07, -0.12

17485, 0.02, -1.07, -0.12

17539, 0.02, -1.07, -0.12

17592, 0.02, -1.07, -0.11

17645, 0.02, -1.06, -0.12

17699, 0.02, -1.07, -0.12

17753, 0.02, -1.07, -0.12

17806, 0.02, -1.07, -0.12

17859, 0.02, -1.07, -0.13

17912, 0.02, -1.07, -0.12

17966, 0.02, -1.07, -0.12

18019, 0.02, -1.07, -0.12

18072, 0.02, -1.07, -0.12

18126, 0.01, -1.07, -0.11

18180, 0.02, -1.07, -0.12

18233, 0.02, -1.07, -0.12

18286, 0.02, -1.07, -0.12

18339, 0.02, -1.07, -0.12

18393, 0.02, -1.07, -0.12

18446, 0.02, -1.07, -0.12

18499, 0.02, -1.07, -0.12

18553, 0.01, -1.07, -0.12

18607, 0.02, -1.07, -0.12

18660, 0.02, -1.07, -0.12

18713, 0.02, -1.07, -0.12

18766, 0.02, -1.07, -0.12

18820, 0.01, -1.06, -0.12

18873, 0.02, -1.07, -0.12

18926, 0.01, -1.06, -0.12

18980, 0.02, -1.07, -0.12

19034, 0.02, -1.07, -0.12

19087, 0.02, -1.07, -0.12

19140, 0.02, -1.07, -0.13

19193, 0.02, -1.07, -0.12

19247, 0.02, -1.07, -0.12

19300, 0.02, -1.07, -0.12

19353, 0.02, -1.07, -0.12

19407, 0.02, -1.06, -0.12

19461, 0.02, -1.07, -0.12

19514, 0.01, -1.07, -0.12

19567, 0.02, -1.07, -0.12

19620, 0.02, -1.07, -0.12

19674, 0.02, -1.07, -0.12

19727, 0.02, -1.07, -0.12

19780, 0.02, -1.07, -0.12

19834, 0.02, -1.07, -0.12

19888, 0.02, -1.07, -0.12

19941, 0.02, -1.07, -0.12

19994, 0.02, -1.07, -0.12

20047, 0.02, -1.07, -0.13

20101, 0.02, -1.07, -0.12

20154, 0.02, -1.07, -0.12

20207, 0.02, -1.06, -0.12

20261, 0.02, -1.07, -0.11

20315, 0.02, -1.06, -0.12

20368, 0.02, -1.07, -0.11

20421, 0.02, -1.07, -0.12

20474, 0.02, -1.07, -0.12

20528, 0.02, -1.07, -0.12

20581, 0.02, -1.07, -0.12

20634, 0.02, -1.07, -0.12

20688, 0.02, -1.07, -0.12

20742, 0.02, -1.07, -0.12

20795, 0.01, -1.07, -0.11

20848, 0.02, -1.07, -0.12

20901, 0.02, -1.07, -0.12

20955, 0.02, -1.06, -0.12

