time(s), x(g), y(g), z(g)
8947, 0.22, -1.05, 0.00

9001, -0.40, -1.44, -0.87

9055, -0.08, -0.91, 0.55

9108, 0.43, -0.84, 0.05

9161, -0.52, -1.07, 0.00

9214, -0.17, -0.98, 0.65

9268, -0.25, -1.46, -0.71

9321, 0.30, -0.73, -0.32

9374, -0.31, -0.90, 0.04

9427, -0.17, -1.21, -0.48

9481, 0.27, -1.20, 0.38

9534, -0.39, -1.28, -0.66

9587, 0.44, -1.34, -0.61

9641, 0.22, -0.34, 0.21

9695, -0.71, -0.88, -0.18

9748, -0.31, -0.91, -0.09

9801, -0.21, -0.70, 0.66

9854, -0.50, -1.56, -0.98

9908, 0.50, -0.81, 0.68

9961, -1.03, -0.73, -0.25

10014, -0.30, -1.28, -0.32

10067, -0.11, -0.93, 0.43

10121, -0.63, -1.57, -0.82

10175, -0.41, -1.24, -0.41

10228, 0.56, -0.63, 0.34

10281, -0.04, -1.19, -0.21

10335, 0.07, -0.99, 0.21

10388, 0.43, -1.18, 0.41

10441, 0.16, -1.54, -0.58

10494, -0.12, -0.86, 0.31

10548, -0.20, -0.63, -0.42

10602, 0.21, -0.84, 0.12

10655, -0.37, -0.87, 0.88

10708, 0.02, -1.59, -0.69

10762, 0.57, -0.72, -0.18

10815, -0.10, -0.88, 0.03

10868, -0.18, -1.38, -0.46

10921, 0.40, -0.79, 0.69

10975, -0.21, -1.32, 0.13

11029, -0.15, -1.27, -0.30

11082, -0.24, -0.57, -0.14

11136, -0.21, -1.19, -0.80

11189, 0.39, -1.04, 0.05

11242, -0.29, -0.99, 0.55

11295, 0.20, -1.36, -0.42

11348, -0.14, -0.99, 0.07

11402, 0.08, -1.21, -0.30

11456, 0.76, -1.54, -0.66

11509, 0.46, -0.77, 0.61

11563, 0.25, -1.46, -0.72

11616, 0.38, -0.86, -0.13

11669, -0.25, -0.75, -0.16

11722, -0.22, -1.17, -0.62

11776, 0.63, -0.51, 0.70

11829, 0.45, -0.59, 0.38

11883, -1.17, -1.53, -0.44

11936, -0.14, -1.25, 0.24

11990, -0.02, -1.26, -0.56

12043, -0.22, -1.25, -0.92

12096, 0.08, -0.64, 0.43

12149, 0.16, -1.42, -0.92

12203, 0.58, -1.00, -0.26

12257, -0.17, -0.81, -0.21

12310, -0.04, -1.31, -0.87

12363, 0.04, -0.72, 0.63

12417, 0.21, -0.75, 0.11

12470, -0.04, -1.00, -0.12

12523, 0.20, -0.96, 0.32

12576, -0.52, -1.40, -0.56

12630, 0.57, -0.79, -0.61

12684, -0.10, -0.92, 0.31

12737, -0.05, -1.41, -0.68

12790, 0.02, -0.79, 0.12

12844, -0.44, -0.90, -0.33

12897, 0.14, -1.73, -0.58

12950, -0.22, -0.96, 0.45

13003, -0.28, -0.63, 0.02

13057, 0.20, -0.94, -0.25

13111, 0.53, -0.90, 0.14

13164, -0.30, -1.18, -0.73

13217, 0.25, -0.79, -0.60

13271, 0.14, -0.72, 0.03

13324, -0.24, -1.36, -0.43

13377, 0.21, -0.98, 0.21

13430, -0.33, -1.49, -0.21

13484, -0.21, -1.47, -0.41

13538, 0.16, -0.84, 0.58

13591, -0.03, -1.07, -0.18

13644, -0.45, -1.12, -0.10

13698, -0.26, -0.56, 0.71

13751, -0.20, -1.31, -0.81

13804, 0.40, -0.81, 0.56

13857, -0.57, -0.71, 0.07

13911, -0.16, -1.14, -0.33

13965, 0.23, -0.62, 0.15

14018, -0.34, -1.26, -0.17

14071, -0.62, -1.43, -0.60

14125, 0.36, -0.95, 0.59

14178, 0.54, -0.69, -0.21

14231, -0.21, -1.16, -0.31

14284, 0.04, -0.80, 0.54

14338, -0.50, -1.41, -0.86

14392, 0.03, -0.78, 0.61

14445, -0.01, -0.81, 0.44

14498, 0.00, -1.59, -0.47

14552, 0.29, -0.83, 0.08

14605, 0.15, -1.09, -0.06

14658, -0.38, -1.50, -0.86

14711, -0.26, -1.10, 0.50

14765, -0.52, -0.93, -0.01

14819, -0.20, -1.49, -0.56

14872, -0.06, -0.76, 0.07

14925, -0.37, -1.06, -0.40

14979, 0.16, -0.84, 0.14

15032, 0.36, -0.66, 0.75

15085, -0.35, -1.65, -0.71

15138, 0.12, -0.98, -0.29

15192, -0.09, -0.69, 0.10

15246, -0.37, -1.51, -0.46

15299, 0.09, -0.90, 0.29

15352, 0.03, -0.66, 0.71

15406, -0.60, -1.66, -0.73

15459, 0.52, -0.61, 0.34

15512, 0.11, -0.77, 0.01

15565, -0.04, -0.77, -0.23

15619, 0.33, -0.68, 0.37

15673, 0.14, -1.32, -0.67

15726, -0.28, -1.61, -0.61

15779, -0.09, -0.61, 0.30

15833, -0.31, -1.12, -0.19

15886, 0.46, -0.77, -0.00

15939, -0.29, -0.86, 0.61

15992, -0.53, -1.77, -0.71

16046, 0.74, -0.88, 0.61

16100, -0.19, -0.86, -0.06

16153, 0.21, -1.16, -0.34

16206, -0.80, -1.12, -0.00

16260, -0.38, -1.21, -0.66

16313, -0.72, -1.31, -0.88

16366, 0.61, -0.38, 0.49

16419, -0.16, -0.71, -0.30

16474, -0.09, -1.10, -0.00

16527, 0.32, -0.86, 0.45

16580, -0.26, -1.55, -0.73

16633, 0.44, -0.89, 0.77

16687, -0.23, -0.64, 0.05

16740, -0.28, -1.00, -0.23

16793, 0.32, -0.91, 0.61

16846, -0.19, -1.70, -1.04

16901, 0.09, -1.39, -0.50

16954, 0.03, -0.54, 0.11

17007, -0.77, -1.00, -0.45

17060, -0.09, -1.11, 0.32

17114, -0.52, -1.32, -0.48

17167, 0.02, -1.54, -0.85

17220, 0.24, -0.62, 0.62

17273, -0.29, -0.84, -0.08

17328, -0.14, -1.16, -0.11

17381, 0.57, -0.95, 0.69

17434, 0.29, -1.33, -0.77

17487, -0.23, -1.70, -0.39

17541, 0.09, -0.78, 0.48

17594, -0.16, -1.28, -0.42

17647, 0.49, -1.06, 0.15

17700, 0.37, -1.11, -0.37

17755, -0.09, -1.62, -0.91

17808, 0.50, -0.82, 0.40

17861, 0.05, -0.70, 0.07

17914, 0.23, -0.87, -0.26

17968, 0.12, -0.76, 0.32

18021, 0.20, -1.30, -0.83

18074, -0.03, -1.41, -0.57

18127, 0.20, -0.69, 0.29

18182, 0.14, -1.41, -0.34

18235, -0.13, -1.02, 0.02

18288, -0.11, -1.38, -0.32

18341, -0.21, -1.42, -0.74

18395, -0.05, -0.62, 0.73

18448, 0.32, -0.59, 0.02

18501, 0.09, -1.18, -0.04

18554, -0.05, -0.95, 0.32

18609, -0.64, -1.69, -0.79

18662, 0.11, -1.59, -0.62

18715, -0.47, -0.86, 0.48

18768, 0.00, -1.49, -0.54

18822, 0.00, -0.97, 0.24

18875, -0.34, -0.83, -0.11

18928, -0.49, -1.78, -0.80

18981, 0.07, -0.83, 0.89

19036, -0.02, -0.52, 0.07

19089, -0.17, -1.48, -0.26

19142, -0.21, -1.07, 0.34

19195, 0.02, -1.25, -0.43

19249, -0.42, -1.05, -0.84

19302, 0.14, -0.28, 0.71

19355, -0.44, -1.64, -0.88

19408, -0.26, -1.09, -0.04

19463, 0.16, -1.13, -0.10

19516, -0.32, -1.43, -0.51

19569, -0.07, -1.16, 0.55

19622, -0.28, -0.80, 0.25

19676, -0.40, -1.57, -0.77

19729, 0.28, -0.73, 0.06

19782, -0.26, -1.27, -0.28

19835, 0.01, -1.11, -0.66

19890, 0.07, -1.03, 0.83

19943, -0.34, -1.70, -0.75

19996, -0.08, -1.20, -0.26

20049, 0.25, -0.59, 0.25

20103, -0.34, -1.38, -0.73

20156, 0.30, -1.02, 0.22

20209, 0.08, -0.50, 0.22

20262, -0.09, -1.49, -0.72

20317, 0.02, -0.87, 0.51

20370, 0.44, -1.17, -0.38

20423, -0.02, -1.65, -0.91

20476, -0.53, -1.01, 0.59

20530, -0.07, -0.77, 0.84

20583, -0.27, -0.58, 0.47

20636, -0.40, -1.06, 0.55

20689, 0.13, -0.75, 0.39

20744, -0.06, -1.50, -0.64

20797, -0.15, -0.64, -0.03

20850, 0.33, -1.20, -0.14

20903, 0.34, -0.60, -0.04

20957, -0.09, -1.33, -0.18

21010, 0.17, -1.11, -0.23

21063, 0.13, -1.35, -0.13

21116, -0.45, -1.77, -0.41

21171, -0.77, -2.00, -0.52

21224, 0.17, -1.17, -0.71

21277, 0.11, -1.02, 0.07

21330, 0.05, -0.44, 0.23

21384, 0.29, -1.08, -0.59

21437, -0.09, -0.45, 0.42

21490, 0.68, -0.75, 0.05

21543, -0.05, -1.37, -0.55

21598, -0.29, -0.80, 0.02

21651, -0.12, -1.06, 0.09

21704, -0.16, -0.81, 0.25

21757, 0.11, -1.24, -0.06

21811, 0.27, -0.75, 0.14

21864, -0.50, -0.10, 0.10

21917, -1.02, -2.00, -1.09

21970, 0.26, -1.98, 1.31

22025, -0.82, -1.47, -0.93

22078, 1.01, -1.13, 0.08

22131, 0.41, -1.25, -0.45

22184, -0.37, -1.50, -0.68

22238, 0.10, -1.27, -0.65

22291, 0.02, -0.88, -0.17

22344, -0.17, -0.62, 0.41

22398, 0.14, -1.15, 0.00

22452, 0.07, -0.93, -0.28

22505, -0.17, -1.16, -0.01

22558, -0.09, -1.44, -0.45

22611, 0.07, -1.43, -0.34

22665, 0.06, -0.99, 0.22

22718, 0.13, -1.12, -0.07

22771, -0.12, -1.37, -0.39

22825, -0.07, -0.94, 0.24

22879, -0.17, -1.07, -0.27

22932, 0.07, -1.02, 0.39

22985, -0.07, -1.09, 0.12

23038, -0.09, -1.15, -0.39

23092, -0.05, -0.92, -0.23

23145, -0.15, -1.02, -0.24

23198, -0.08, -0.98, -0.30

23252, 0.02, -1.07, 0.12

23306, -0.04, -1.11, 0.14

23359, 0.05, -1.15, -0.12

23412, 0.02, -0.86, -0.21

23465, -0.32, -1.17, -0.23

23519, 0.15, -0.94, -0.17

23572, 0.08, -1.15, -0.12

23625, 0.01, -0.91, -0.16

23680, 0.12, -0.98, -0.14

23733, -0.14, -1.12, -0.16

23786, -0.03, -1.04, 0.00

23839, -0.03, -1.04, -0.13

23892, 0.03, -1.11, -0.01

23946, -0.02, -1.08, -0.20

23999, -0.02, -1.10, -0.20

24052, 0.00, -1.05, -0.12

24107, -0.11, -1.09, -0.21

24160, 0.06, -0.95, -0.13

24213, -0.06, -1.12, -0.14

24266, -0.07, -1.09, -0.10

24320, -0.02, -1.05, -0.10

24373, -0.03, -1.07, -0.11

24426, -0.01, -1.07, -0.12

24479, -0.03, -1.08, -0.11

24534, -0.05, -1.07, -0.11

24587, -0.05, -1.07, -0.12

24640, -0.05, -1.07, -0.13

24693, -0.05, -1.06, -0.11

24747, -0.04, -1.07, -0.11

24800, -0.04, -1.06, -0.11

24853, -0.04, -1.07, -0.11

24906, -0.04, -1.06, -0.11

24961, -0.04, -1.07, -0.12

25014, -0.04, -1.07, -0.11

25067, -0.04, -1.07, -0.11

25120, -0.04, -1.06, -0.11

25174, -0.04, -1.07, -0.12

25227, -0.04, -1.06, -0.11

25280, -0.04, -1.07, -0.11

25333, -0.04, -1.06, -0.11

25388, -0.04, -1.06, -0.11

25441, -0.04, -1.07, -0.11

25494, -0.04, -1.07, -0.11

25547, -0.04, -1.06, -0.11

25601, -0.04, -1.07, -0.11

25654, -0.04, -1.07, -0.12

25707, -0.04, -1.07, -0.11

25761, -0.04, -1.06, -0.12

25815, -0.04, -1.07, -0.11

25868, -0.04, -1.06, -0.11

25921, -0.04, -1.06, -0.11

25974, -0.04, -1.07, -0.12

26028, -0.04, -1.06, -0.11

26081, -0.04, -1.07, -0.12

26134, -0.04, -1.07, -0.11

26188, -0.04, -1.06, -0.11

26242, -0.04, -1.07, -0.11

26295, -0.04, -1.06, -0.11

26348, -0.04, -1.07, -0.11

26401, -0.04, -1.07, -0.11

26455, -0.04, -1.07, -0.11

26508, -0.04, -1.07, -0.11

26561, -0.04, -1.07, -0.11

26615, -0.04, -1.07, -0.11

26669, -0.04, -1.07, -0.11

26722, -0.04, -1.06, -0.11

26775, -0.04, -1.07, -0.11

26828, -0.04, -1.06, -0.12

26882, -0.04, -1.06, -0.12

26935, -0.04, -1.07, -0.12

26988, -0.04, -1.07, -0.11

27042, -0.04, -1.06, -0.11

27096, -0.04, -1.06, -0.11

27149, -0.04, -1.07, -0.12

27202, -0.04, -1.06, -0.12

27255, -0.04, -1.07, -0.11

27309, -0.04, -1.06, -0.11

27362, -0.04, -1.07, -0.12

27415, -0.04, -1.07, -0.12

27469, -0.04, -1.07, -0.12

27523, -0.04, -1.06, -0.11

27576, -0.04, -1.07, -0.11

27629, -0.04, -1.07, -0.11

27682, -0.04, -1.07, -0.11

27736, -0.04, -1.06, -0.11

27789, -0.04, -1.06, -0.11

27842, -0.04, -1.07, -0.11

27896, -0.04, -1.07, -0.11

27950, -0.04, -1.07, -0.12

28003, -0.04, -1.06, -0.11

28056, -0.04, -1.07, -0.12

28109, -0.04, -1.06, -0.11

28163, -0.04, -1.06, -0.11

28216, -0.04, -1.07, -0.11

28270, -0.04, -1.06, -0.11

28323, -0.04, -1.07, -0.11

28377, -0.04, -1.07, -0.11

28430, -0.04, -1.06, -0.11

28483, -0.04, -1.07, -0.11

28536, -0.05, -1.07, -0.11

28590, -0.04, -1.06, -0.11

28643, -0.04, -1.06, -0.11

28697, -0.04, -1.06, -0.11

28750, -0.04, -1.07, -0.11

28804, -0.04, -1.07, -0.11

28857, -0.04, -1.07, -0.11

28910, -0.04, -1.07, -0.11

28963, -0.04, -1.06, -0.11

29017, -0.04, -1.06, -0.11

29070, -0.04, -1.07, -0.11

29124, -0.04, -1.06, -0.11

29177, -0.04, -1.06, -0.11

29231, -0.04, -1.07, -0.11

29284, -0.04, -1.07, -0.12

29337, -0.04, -1.06, -0.11

29390, -0.04, -1.06, -0.11

29444, -0.04, -1.06, -0.11

29497, -0.04, -1.06, -0.11

29551, -0.04, -1.06, -0.11

29604, -0.04, -1.07, -0.11

29658, -0.04, -1.07, -0.12

29711, -0.04, -1.06, -0.12

29764, -0.04, -1.07, -0.11

29817, -0.04, -1.06, -0.12

29871, -0.04, -1.06, -0.11

29924, -0.04, -1.06, -0.11

29978, -0.04, -1.06, -0.12

30031, -0.04, -1.06, -0.11

30085, -0.04, -1.06, -0.11

30138, -0.04, -1.07, -0.12

30191, -0.04, -1.06, -0.11

30244, -0.04, -1.06, -0.11

30298, -0.04, -1.07, -0.12

30351, -0.04, -1.07, -0.11

30405, -0.04, -1.06, -0.11

30458, -0.04, -1.07, -0.12

30512, -0.04, -1.07, -0.12

30565, -0.04, -1.07, -0.11

30618, -0.04, -1.06, -0.11

30671, -0.04, -1.06, -0.12

