time(s), x(g), y(g), z(g)
26238, 0.11, -1.06, -0.10

time(s), x(g), y(g), z(g)
time(s), x(g), y(g), z(g)
201, 0.11, -1.07, -0.10

254, 0.11, -1.06, -0.10

308, 0.11, -1.06, -0.10

361, 0.10, -1.06, -0.10

414, 0.10, -1.06, -0.10

467, 0.10, -1.07, -0.11

521, 0.11, -1.07, -0.10

575, 0.10, -1.07, -0.10

628, 0.10, -1.06, -0.10

681, 0.10, -1.07, -0.10

735, 0.10, -1.06, -0.10

788, 0.10, -1.07, -0.10

841, 0.11, -1.06, -0.11

894, 0.11, -1.06, -0.11

948, 0.11, -1.06, -0.10

1001, 0.11, -1.07, -0.10

1054, 0.11, -1.07, -0.09

1107, 0.10, -1.06, -0.10

1161, 0.10, -1.07, -0.11

1214, 0.10, -1.06, -0.10

1267, 0.10, -1.07, -0.11

1320, 0.10, -1.06, -0.10

1374, 0.10, -1.06, -0.11

1427, 0.11, -1.07, -0.11

1480, 0.11, -1.06, -0.10

1534, 0.11, -1.06, -0.11

1588, 0.11, -1.07, -0.10

1641, 0.10, -1.06, -0.10

1694, 0.11, -1.07, -0.11

1747, 0.10, -1.07, -0.10

1801, 0.10, -1.06, -0.10

1854, 0.11, -1.06, -0.11

1907, 0.10, -1.06, -0.10

1960, 0.10, -1.07, -0.10

2014, 0.10, -1.06, -0.10

2067, 0.10, -1.06, -0.10

2120, 0.10, -1.07, -0.10

2174, 0.10, -1.06, -0.11

2228, 0.11, -1.07, -0.11

2281, 0.10, -1.06, -0.10

2334, 0.10, -1.06, -0.10

2387, 0.10, -1.06, -0.10

2441, 0.10, -1.06, -0.10

2494, 0.11, -1.07, -0.10

2547, 0.10, -1.06, -0.10

2600, 0.10, -1.06, -0.11

2654, 0.10, -1.06, -0.10

2707, 0.10, -1.07, -0.10

2760, 0.11, -1.07, -0.10

2813, 0.10, -1.07, -0.09

2867, 0.10, -1.06, -0.11

2921, 0.10, -1.07, -0.10

2974, 0.10, -1.07, -0.11

3027, 0.10, -1.06, -0.11

3081, 0.10, -1.07, -0.10

3134, 0.11, -1.07, -0.10

3187, 0.10, -1.07, -0.10

3240, 0.11, -1.06, -0.10

3294, 0.11, -1.07, -0.11

3347, 0.11, -1.06, -0.10

3400, 0.10, -1.07, -0.10

3453, 0.11, -1.07, -0.10

3507, 0.11, -1.07, -0.11

3561, 0.11, -1.07, -0.10

3614, 0.10, -1.06, -0.10

3667, 0.11, -1.07, -0.11

3721, 0.10, -1.06, -0.11

3774, 0.10, -1.06, -0.10

3827, 0.11, -1.07, -0.10

3880, 0.10, -1.07, -0.10

3934, 0.11, -1.06, -0.10

3987, 0.11, -1.06, -0.09

4040, 0.11, -1.06, -0.10

4093, 0.11, -1.06, -0.10

4147, 0.10, -1.07, -0.10

4200, 0.10, -1.06, -0.10

4254, 0.10, -1.06, -0.10

4307, 0.10, -1.06, -0.10

4361, 0.10, -1.06, -0.10

4414, 0.10, -1.06, -0.10

4467, 0.10, -1.07, -0.10

4520, 0.11, -1.07, -0.10

4574, 0.11, -1.07, -0.10

4627, 0.11, -1.07, -0.10

4680, 0.11, -1.06, -0.11

4733, 0.10, -1.07, -0.10

4787, 0.11, -1.07, -0.10

4840, 0.10, -1.06, -0.09

4893, 0.11, -1.07, -0.11

4947, 0.11, -1.07, -0.10

5001, 0.11, -1.07, -0.10

5054, 0.10, -1.06, -0.10

5107, 0.11, -1.06, -0.10

5160, 0.10, -1.06, -0.09

5214, 0.11, -1.06, -0.11

5267, 0.10, -1.06, -0.11

5320, 0.10, -1.06, -0.11

5373, 0.10, -1.07, -0.10

5427, 0.10, -1.06, -0.10

5480, 0.11, -1.06, -0.10

5533, 0.11, -1.06, -0.11

5587, 0.10, -1.06, -0.10

5641, 0.11, -1.06, -0.10

5694, 0.11, -1.07, -0.11

5747, 0.10, -1.07, -0.10

5800, 0.10, -1.06, -0.11

5854, 0.11, -1.07, -0.10

5907, 0.11, -1.07, -0.10

5960, 0.10, -1.07, -0.10

6013, 0.11, -1.07, -0.10

6067, 0.10, -1.06, -0.10

6120, 0.11, -1.07, -0.09

6173, 0.10, -1.06, -0.10

6226, 0.11, -1.07, -0.10

6281, 0.11, -1.06, -0.11

6334, 0.10, -1.06, -0.10

6387, 0.10, -1.07, -0.10

6440, 0.11, -1.07, -0.10

6494, 0.11, -1.07, -0.10

6547, 0.11, -1.06, -0.10

6600, 0.11, -1.07, -0.10

6653, 0.10, -1.06, -0.11

6707, 0.10, -1.07, -0.10

6760, 0.10, -1.06, -0.11

6813, 0.11, -1.07, -0.10

6866, 0.10, -1.06, -0.11

6920, 0.11, -1.07, -0.10

6974, 0.10, -1.06, -0.10

7027, 0.10, -1.06, -0.11

7080, 0.10, -1.06, -0.10

7134, 0.10, -1.06, -0.11

7187, 0.11, -1.07, -0.10

7240, 0.11, -1.07, -0.10

7293, 0.11, -1.06, -0.10

7347, 0.10, -1.06, -0.10

7400, 0.11, -1.07, -0.11

7453, 0.10, -1.06, -0.10

7506, 0.10, -1.07, -0.10

7560, 0.10, -1.06, -0.10

7614, 0.11, -1.06, -0.10

7667, 0.11, -1.07, -0.10

7720, 0.10, -1.06, -0.10

7774, 0.10, -1.06, -0.09

7827, 0.11, -1.06, -0.11

7880, 0.10, -1.06, -0.10

7933, 0.11, -1.07, -0.09

7987, 0.10, -1.07, -0.10

8040, 0.11, -1.07, -0.10

8093, 0.10, -1.06, -0.09

8146, 0.11, -1.07, -0.10

8200, 0.10, -1.06, -0.10

8253, 0.10, -1.06, -0.10

8307, 0.11, -1.06, -0.10

8360, 0.10, -1.06, -0.11

8414, 0.10, -1.07, -0.10
