time(s), x(g), y(g), z(g)
201, 0.05, -1.06, -0.10

254, 0.06, -1.07, -0.11

308, 0.05, -1.07, -0.10

361, 0.05, -1.07, -0.10

414, 0.05, -1.07, -0.10

467, 0.05, -1.06, -0.10

521, 0.05, -1.06, -0.10

574, 0.05, -1.06, -0.10

628, 0.05, -1.07, -0.10

681, 0.05, -1.07, -0.10

735, 0.05, -1.07, -0.09

788, 0.05, -1.07, -0.10

841, 0.05, -1.07, -0.10

894, 0.05, -1.07, -0.11

948, 0.05, -1.06, -0.10

1001, 0.05, -1.07, -0.10

1054, 0.05, -1.06, -0.10

1107, 0.05, -1.06, -0.10

1161, 0.05, -1.07, -0.10

1214, 0.05, -1.07, -0.11

1267, 0.05, -1.06, -0.11

1320, 0.05, -1.07, -0.10

1374, 0.05, -1.07, -0.10

1427, 0.05, -1.07, -0.10

1480, 0.05, -1.06, -0.10

1533, 0.06, -1.07, -0.10

1587, 0.05, -1.06, -0.10

1641, 0.05, -1.07, -0.10

1694, 0.05, -1.06, -0.11

1747, 0.05, -1.07, -0.11

1801, 0.05, -1.07, -0.10

1854, 0.05, -1.07, -0.10

1907, 0.05, -1.07, -0.10

1960, 0.05, -1.06, -0.10

2014, 0.05, -1.06, -0.11

2067, 0.05, -1.07, -0.11

2120, 0.05, -1.06, -0.09

2173, 0.05, -1.07, -0.11

2227, 0.05, -1.07, -0.10

2280, 0.05, -1.07, -0.09

2334, 0.05, -1.07, -0.11

2387, 0.05, -1.06, -0.10

2441, 0.05, -1.07, -0.10

2494, 0.05, -1.07, -0.11

2547, 0.05, -1.06, -0.10

2600, 0.05, -1.07, -0.10

2654, 0.05, -1.07, -0.10

2707, 0.05, -1.07, -0.11

2760, 0.05, -1.07, -0.09

2813, 0.05, -1.07, -0.10

2867, 0.05, -1.07, -0.10

2920, 0.05, -1.07, -0.09

2973, 0.05, -1.06, -0.10

3026, 0.05, -1.07, -0.10

3081, 0.05, -1.07, -0.11

3134, 0.05, -1.07, -0.11

3187, 0.05, -1.07, -0.10

3240, 0.05, -1.07, -0.10

3294, 0.05, -1.07, -0.10

3347, 0.05, -1.07, -0.10

3400, 0.05, -1.07, -0.10

3453, 0.05, -1.07, -0.10

3507, 0.05, -1.06, -0.10

3560, 0.05, -1.07, -0.10

3613, 0.05, -1.07, -0.10

3666, 0.05, -1.07, -0.10

3720, 0.05, -1.06, -0.11

3773, 0.05, -1.06, -0.11

3827, 0.05, -1.06, -0.11

3880, 0.05, -1.07, -0.10

3934, 0.05, -1.07, -0.11

3987, 0.05, -1.07, -0.09

4040, 0.05, -1.07, -0.10

4093, 0.05, -1.07, -0.10

4147, 0.05, -1.06, -0.11

4200, 0.05, -1.07, -0.10

4253, 0.05, -1.07, -0.10

4306, 0.05, -1.07, -0.11

4360, 0.05, -1.06, -0.11

4413, 0.05, -1.07, -0.09

4466, 0.05, -1.06, -0.10

4519, 0.05, -1.06, -0.11

4574, 0.05, -1.07, -0.10

4627, 0.05, -1.07, -0.10

4680, 0.05, -1.07, -0.10

4733, 0.05, -1.07, -0.10

4787, 0.05, -1.07, -0.10

4840, 0.05, -1.07, -0.10

4893, 0.05, -1.07, -0.11

4946, 0.05, -1.06, -0.11

5000, 0.05, -1.06, -0.11

5053, 0.05, -1.06, -0.10

5106, 0.05, -1.07, -0.10

5159, 0.05, -1.07, -0.09

5213, 0.05, -1.07, -0.09

5266, 0.05, -1.07, -0.09

5320, 0.05, -1.07, -0.10

5373, 0.05, -1.07, -0.10

5427, 0.05, -1.07, -0.10

5480, 0.05, -1.07, -0.11

5533, 0.05, -1.07, -0.11

5586, 0.05, -1.07, -0.10

5640, 0.05, -1.07, -0.10

5693, 0.05, -1.06, -0.10

5746, 0.06, -1.07, -0.10

5799, 0.05, -1.07, -0.10

5853, 0.05, -1.06, -0.10

5906, 0.05, -1.07, -0.10

5959, 0.05, -1.06, -0.11

6013, 0.06, -1.07, -0.10

6067, 0.05, -1.07, -0.10

6120, 0.05, -1.07, -0.10

6173, 0.05, -1.06, -0.10

6226, 0.05, -1.07, -0.10

6280, 0.05, -1.06, -0.10

6333, 0.05, -1.06, -0.11

6386, 0.05, -1.06, -0.10

6439, 0.05, -1.07, -0.10

6493, 0.05, -1.07, -0.10

6546, 0.05, -1.06, -0.11

6599, 0.05, -1.07, -0.09

6652, 0.06, -1.07, -0.11

6706, 0.05, -1.07, -0.11

6760, 0.05, -1.07, -0.10

6813, 0.05, -1.07, -0.10

6866, 0.05, -1.07, -0.10

6920, 0.05, -1.06, -0.10

6973, 0.05, -1.07, -0.09

7026, 0.05, -1.07, -0.10

7079, 0.05, -1.07, -0.11

7133, 0.05, -1.07, -0.11

7186, 0.05, -1.06, -0.11

7239, 0.05, -1.07, -0.10

7292, 0.05, -1.07, -0.11

7346, 0.05, -1.07, -0.10

