time(s), x(g), y(g), z(g)
9160, 0.03, -1.07, -0.12

9213, 0.02, -1.07, -0.12

9267, 0.02, -1.07, -0.11

9320, 0.02, -1.07, -0.11

9373, 0.02, -1.07, -0.12

9426, 0.02, -1.07, -0.11

9480, 0.02, -1.07, -0.12

9533, 0.02, -1.07, -0.12

9586, 0.03, -1.07, -0.12

9639, 0.02, -1.07, -0.12

9693, 0.03, -1.07, -0.12

9746, 0.02, -1.07, -0.12

9799, 0.02, -1.07, -0.12

9853, 0.02, -1.07, -0.12

9907, 0.02, -1.06, -0.12

9960, 0.02, -1.07, -0.12

10013, 0.02, -1.07, -0.12

10066, 0.03, -1.07, -0.11

10120, 0.02, -1.07, -0.12

10173, 0.03, -1.07, -0.12

10226, 0.03, -1.07, -0.12

10279, 0.02, -1.07, -0.12

10333, 0.02, -1.07, -0.11

10387, 0.03, -1.07, -0.12

10440, 0.02, -1.07, -0.12

10493, 0.02, -1.07, -0.12

10547, 0.03, -1.07, -0.12

10600, 0.02, -1.07, -0.12

10653, 0.02, -1.07, -0.12

10706, 0.02, -1.07, -0.11

10760, 0.02, -1.07, -0.12

10814, 0.03, -1.07, -0.12

10867, 0.02, -1.07, -0.12

10920, 0.02, -1.07, -0.12

10974, 0.03, -1.07, -0.12

11027, 0.02, -1.07, -0.12

11080, 0.02, -1.07, -0.12

11133, 0.02, -1.07, -0.12

11187, 0.02, -1.07, -0.12

11241, 0.03, -1.07, -0.12

11294, 0.02, -1.07, -0.12

11347, 0.02, -1.07, -0.12

11401, 0.03, -1.07, -0.12

11454, 0.02, -1.07, -0.12

11507, 0.02, -1.07, -0.12

11560, 0.02, -1.07, -0.12

11614, 0.02, -1.07, -0.12

11667, 0.03, -1.07, -0.11

11721, 0.02, -1.07, -0.12

11774, 0.02, -1.07, -0.12

11828, 0.02, -1.06, -0.12

11881, 0.02, -1.07, -0.12

11934, 0.02, -1.07, -0.12

11987, 0.02, -1.07, -0.12

12041, 0.02, -1.06, -0.12

12094, 0.02, -1.07, -0.12

12148, 0.02, -1.07, -0.11

12201, 0.03, -1.07, -0.12

12255, 0.02, -1.07, -0.12

12308, 0.02, -1.07, -0.12

12361, 0.02, -1.07, -0.12

12414, 0.02, -1.07, -0.11

12468, 0.02, -1.07, -0.12

12521, 0.02, -1.07, -0.11

12574, 0.02, -1.07, -0.12

12628, 0.03, -1.07, -0.12

12682, 0.02, -1.07, -0.12

12735, 0.02, -1.07, -0.12

12788, 0.02, -1.07, -0.11

12841, 0.02, -1.07, -0.12

12895, 0.02, -1.07, -0.12

12948, 0.02, -1.07, -0.12

13001, 0.02, -1.07, -0.12

13056, 0.02, -1.07, -0.12

