time(s), x(g), y(g), z(g)
0, 0.89, -0.16, -0.64
1, 0.88, -0.15, -0.64
2, 0.89, -0.15, -0.64
3, 0.89, -0.15, -0.64
4, 0.88, -0.16, -0.64
5, 0.88, -0.15, -0.64
6, 0.88, -0.15, -0.64
7, 0.89, -0.14, -0.64
8, 0.89, -0.14, -0.64
9, 0.89, -0.15, -0.64
10, 0.89, -0.15, -0.64
11, 0.88, -0.14, -0.64
12, 0.88, -0.16, -0.64
13, 0.55, 0.21, -0.39
14, -0.95, -2.00, -0.84
15, 0.43, 0.58, 0.39
16, -0.28, -0.89, 0.37
17, -0.36, -0.54, 0.29
18, 0.50, 0.28, 0.52
19, 0.40, 1.04, -2.00
20, 0.70, 0.35, 0.59
21, 0.75, -0.30, 0.28
22, -2.00, -1.90, 0.77
23, -1.98, -1.29, -1.57
24, -0.12, 2.00, 1.46
25, 1.44, 1.23, -2.00
26, 0.65, 1.98, -0.85
27, 0.55, 2.00, -0.91
28, 1.63, 0.27, -0.89
29, 0.50, -1.32, -1.77
30, 1.34, -0.62, 0.39
31, -0.34, -2.00, 0.87
32, -0.89, -1.66, 0.37
33, 0.50, 0.61, -1.98
34, 0.25, 0.06, -1.78
35, -1.91, -2.00, 0.28
36, -0.26, -1.98, 1.76
37, -0.00, -0.21, 0.20
38, -0.32, -0.98, 0.24
39, -0.18, -0.77, 0.27
