time(s), x(g), y(g), z(g)
9160, 0.10, -1.05, -0.12

9213, -0.07, -1.07, -0.08

9267, -0.09, -1.05, -0.13

9320, 0.02, -1.09, -0.12

9373, 0.05, -1.06, -0.16

9426, 0.08, -1.06, -0.14

9480, 0.08, -1.11, -0.10

9533, -0.04, -1.06, -0.19

9586, 0.00, -1.08, -0.12

9639, -0.01, -1.08, -0.12

9693, -0.01, -1.05, -0.22

9747, 0.06, -1.08, -0.10

9800, 0.11, -1.07, -0.17

9853, 0.00, -1.07, -0.09

9907, -0.01, -1.09, -0.16

9960, -0.03, -1.06, -0.14

10013, -0.04, -1.07, -0.07

10066, 0.07, -1.05, -0.09

10120, 0.05, -1.10, -0.11

10173, 0.03, -1.08, -0.10

10226, -0.01, -1.07, -0.13

10280, -0.01, -1.08, -0.07

10334, -0.02, -1.04, -0.18

10387, 0.02, -1.07, -0.10

10440, 0.12, -1.08, -0.10

10493, 0.03, -1.09, -0.14

10547, 0.00, -1.07, -0.08

10600, -0.04, -1.05, -0.13

10653, 0.07, -1.04, -0.14

10706, 0.11, -1.08, -0.08

10761, 0.01, -1.05, -0.11

10814, -0.05, -1.05, -0.10

10867, -0.04, -1.10, -0.14

10920, 0.03, -1.06, -0.08

10974, 0.08, -1.09, -0.14

11027, 0.01, -1.06, -0.14

11080, 0.02, -1.06, -0.05

11133, 0.01, -1.08, -0.11

11188, 0.04, -1.08, -0.10

11241, -0.03, -1.05, -0.08

11294, 0.01, -1.07, -0.17

11347, 0.10, -1.06, -0.10

11401, 0.08, -1.08, -0.13

11454, 0.04, -1.07, -0.14

11507, -0.07, -1.05, -0.09

11560, -0.07, -1.03, -0.10

11614, 0.06, -1.05, -0.09

11668, 0.16, -1.04, -0.15

11721, 0.03, -1.06, -0.16

11774, -0.05, -1.07, -0.12

11828, -0.02, -1.11, -0.03

11881, 0.09, -1.06, -0.15

11934, -0.01, -1.07, -0.08

11987, 0.09, -1.06, -0.08

12041, 0.00, -1.08, -0.08

12095, 0.08, -1.10, -0.13

12148, -0.00, -1.07, -0.11

12201, -0.01, -1.08, -0.11

12255, -0.02, -1.03, -0.11

12308, 0.02, -1.08, -0.13

12361, 0.03, -1.09, -0.08

12414, -0.03, -1.09, -0.16

12468, -0.06, -1.06, -0.06

12522, 0.02, -1.04, -0.11

12575, 0.13, -1.08, -0.15

12628, 0.16, -1.08, -0.11

12682, -0.07, -1.05, -0.13

12735, 0.00, -1.09, -0.11

12788, 0.02, -1.06, -0.14

12841, 0.07, -1.04, -0.14

12895, -0.01, -1.09, -0.04

12948, -0.02, -1.09, -0.14

13002, 0.04, -1.05, -0.13

13056, -0.01, -1.11, -0.10

13109, 0.07, -1.07, -0.09

13162, 0.10, -1.07, -0.09

13215, 0.04, -1.05, -0.15

13268, -0.05, -1.10, -0.16

13322, -0.00, -1.07, -0.09

13375, 0.02, -1.06, -0.16

13429, 0.02, -1.07, -0.10

13483, 0.95, -0.98, 0.43

13536, 0.37, -1.01, -0.39

13589, -0.54, -1.55, 0.27

13642, 0.57, -1.09, -0.14

13696, 0.14, -1.13, -0.04

13749, -0.55, -1.20, -0.05

13802, -0.77, -1.05, -0.66

13856, 0.29, -1.01, -0.23

13910, 0.57, -0.87, -0.22

13963, 0.59, -0.60, -0.59

14016, -1.70, -0.06, 0.38

14069, 2.00, -1.02, 0.02

14123, 0.41, -1.14, -0.36

14176, -2.00, -0.97, -0.61

14229, 2.00, -0.92, -1.48

14283, -0.33, -0.99, 0.19

14337, -1.14, -1.17, -0.12

14390, 0.27, -1.41, -0.24

14443, -0.39, -0.65, -0.22

14496, -0.33, -0.72, -0.08

14550, -0.09, -0.69, 0.45

14603, 0.68, -0.85, 0.22

14656, 0.91, -1.56, -0.49

14710, 0.80, -0.84, -0.80

14764, -1.23, -0.47, 0.68

14817, 2.00, -0.59, -0.68

14870, -1.52, -1.16, 0.29

14923, 1.46, -1.20, -0.58

14977, -0.82, -0.74, 0.55

15030, -2.00, -0.82, 0.28

15084, 2.00, -1.55, -0.80

15137, 1.91, -1.40, -0.70

15191, -2.00, -1.17, 0.38

15244, 1.94, -0.71, -0.57

15297, -1.23, -0.17, 0.14

15350, 2.00, -1.33, -0.30

15404, 2.00, -1.11, -0.96

15457, -2.00, -1.14, 0.63

15511, 0.55, -1.06, 0.06

15564, 1.12, -0.98, 0.23

15618, -2.00, -0.77, 0.27

