time(s), x(g), y(g), z(g)
96177, -0.05, -1.07, -0.11

time(s), x(g), y(g), z(g)
201, -0.05, -1.06, -0.12

205, -0.05, -1.06, -0.12

236, -0.05, -1.06, -0.11

275, -0.05, -1.07, -0.11

315, -0.05, -1.07, -0.11

354, -0.05, -1.06, -0.12

394, -0.05, -1.07, -0.11

434, -0.05, -1.06, -0.11

473, -0.05, -1.07, -0.12

513, -0.05, -1.07, -0.11

551, -0.05, -1.06, -0.12

591, -0.04, -1.06, -0.11

631, -0.05, -1.06, -0.11

670, -0.05, -1.07, -0.11

710, -0.05, -1.07, -0.11

749, -0.05, -1.07, -0.11

789, -0.05, -1.06, -0.11

829, -0.05, -1.07, -0.11

868, -0.05, -1.06, -0.11

908, -0.05, -1.06, -0.11

947, -0.05, -1.07, -0.11

987, -0.05, -1.06, -0.11

1026, -0.05, -1.07, -0.11

1067, -0.05, -1.07, -0.11

1107, -0.05, -1.07, -0.12

1147, -0.05, -1.07, -0.11

1188, -0.05, -1.07, -0.11

1229, -0.05, -1.06, -0.11

1269, -0.04, -1.07, -0.11

1310, -0.05, -1.07, -0.11

1350, -0.05, -1.06, -0.11

1391, -0.05, -1.06, -0.11

1432, -0.05, -1.06, -0.11

1472, -0.05, -1.06, -0.11

1513, -0.05, -1.06, -0.11

1553, -0.05, -1.07, -0.11

1594, -0.05, -1.07, -0.11

1635, -0.05, -1.07, -0.11

1675, -0.05, -1.07, -0.11

1716, -0.05, -1.06, -0.11

1756, -0.05, -1.07, -0.11

1797, -0.05, -1.07, -0.11

1838, -0.05, -1.06, -0.11

1878, -0.05, -1.07, -0.11

1918, -0.05, -1.06, -0.11

1959, -0.05, -1.07, -0.12

1999, -0.05, -1.06, -0.11

2040, -0.05, -1.06, -0.11

2080, -0.05, -1.06, -0.12

2121, -0.05, -1.06, -0.11

2162, -0.05, -1.07, -0.12

2202, -0.05, -1.07, -0.11

2243, -0.05, -1.06, -0.11

2283, -0.05, -1.06, -0.11

2324, -0.05, -1.06, -0.12

2365, -0.05, -1.07, -0.11

2405, -0.05, -1.06, -0.12

2446, -0.05, -1.06, -0.11

2486, -0.05, -1.06, -0.12

2527, -0.05, -1.06, -0.11

2568, -0.05, -1.06, -0.11

2608, -0.05, -1.07, -0.11

2649, -0.05, -1.07, -0.12

2689, -0.05, -1.06, -0.11

2729, -0.05, -1.07, -0.12

2770, -0.05, -1.07, -0.11

2810, -0.05, -1.07, -0.12

2851, -0.05, -1.07, -0.11

2892, -0.05, -1.06, -0.11

2932, -0.05, -1.07, -0.12

2973, -0.05, -1.07, -0.11

3013, -0.05, -1.06, -0.11

3054, -0.05, -1.06, -0.11

3095, -0.05, -1.07, -0.11

3135, -0.05, -1.07, -0.11

3176, -0.05, -1.07, -0.11

3216, -0.05, -1.07, -0.12

3257, -0.05, -1.07, -0.11

3298, -0.05, -1.07, -0.11

3338, -0.05, -1.06, -0.12

3379, -0.05, -1.06, -0.11

3419, -0.05, -1.07, -0.11

3460, -0.05, -1.07, -0.11

3501, -0.05, -1.06, -0.12

3540, -0.05, -1.07, -0.11

3581, -0.05, -1.07, -0.11

3621, -0.05, -1.06, -0.11

3662, -0.05, -1.07, -0.11

3703, -0.05, -1.06, -0.11

3743, -0.05, -1.07, -0.11

3784, -0.05, -1.07, -0.11

3825, -0.05, -1.06, -0.11

3865, -0.05, -1.07, -0.11

3906, -0.05, -1.07, -0.11

3946, -0.05, -1.06, -0.11

3987, -0.05, -1.07, -0.11

4028, -0.05, -1.06, -0.11

4068, -0.05, -1.07, -0.12

4109, -0.05, -1.06, -0.11

4149, -0.05, -1.06, -0.11

4190, -0.05, -1.06, -0.11

4231, -0.05, -1.06, -0.11

4271, -0.05, -1.07, -0.11

4312, -0.05, -1.06, -0.11

4352, -0.05, -1.07, -0.11

4392, -0.05, -1.06, -0.11

4433, -0.05, -1.06, -0.11

4473, -0.05, -1.06, -0.12

4514, -0.05, -1.06, -0.12

4555, -0.05, -1.07, -0.12

4595, -0.05, -1.06, -0.12

4636, -0.05, -1.07, -0.11

4676, -0.05, -1.07, -0.11

4717, -0.05, -1.07, -0.11

4758, -0.05, -1.07, -0.11

4798, -0.05, -1.07, -0.12

4839, -0.05, -1.06, -0.11

4879, -0.05, -1.06, -0.11

4920, -0.05, -1.07, -0.11

4961, -0.05, -1.06, -0.11

5001, -0.05, -1.07, -0.12

5042, -0.05, -1.07, -0.11

5082, -0.05, -1.06, -0.12

5123, -0.05, -1.06, -0.11

5164, -0.05, -1.07, -0.12

5203, -0.05, -1.06, -0.12

5244, -0.05, -1.06, -0.11

5284, -0.05, -1.06, -0.12

5325, -0.05, -1.07, -0.12

5366, -0.05, -1.06, -0.11

5406, -0.05, -1.06, -0.12

5447, -0.05, -1.06, -0.11

5488, -0.05, -1.07, -0.11

5528, -0.05, -1.06, -0.11

5569, -0.05, -1.07, -0.11

5609, -0.05, -1.07, -0.12

5650, -0.05, -1.07, -0.12

5691, -0.05, -1.07, -0.12

5731, -0.05, -1.06, -0.11

5772, -0.05, -1.07, -0.11

5812, -0.05, -1.06, -0.12

5853, -0.05, -1.06, -0.11

5894, -0.05, -1.06, -0.11

5934, -0.05, -1.06, -0.11

5975, -0.05, -1.06, -0.11

6014, -0.05, -1.07, -0.11

6055, -0.05, -1.06, -0.12

6096, -0.05, -1.07, -0.11

6136, -0.05, -1.06, -0.11

6177, -0.05, -1.06, -0.11

6217, -0.05, -1.07, -0.11

6258, 0.30, -0.88, -0.25

6298, 0.34, -0.94, -0.04

6337, -0.24, -1.06, 0.09

6377, -0.70, -1.11, -0.20

6417, 0.16, -0.96, -0.14

6457, -0.09, -1.16, -0.23

6498, -0.11, -0.89, -0.27

6538, 0.21, -1.20, -0.23

6578, -0.13, -1.00, 0.14

6617, 0.05, -1.10, -0.39

6657, -0.14, -0.99, -0.31

6697, 0.05, -0.87, 0.54

6735, -0.11, -1.17, 0.32

6775, -0.56, -1.10, -0.30

6815, -0.33, -0.83, 0.27

6855, 0.36, -2.00, -0.07

6895, 0.60, -1.51, 0.32

6933, -0.11, 0.19, 2.00

6972, -0.01, 2.00, 1.86

7010, -0.06, -0.96, 0.36

7050, 0.02, -0.98, 0.19

7089, 0.16, -0.75, 0.67

7127, 0.34, -1.29, -0.31

7166, -0.36, -1.39, -0.77

7206, -0.21, -1.55, -0.72

7247, -0.46, -0.97, -0.48

7288, -0.45, -1.02, 0.05

7327, -0.06, -1.45, -0.12

7368, -0.34, -1.32, -0.33

7408, -0.34, -1.02, 0.04

7448, 0.35, -1.00, 0.64

7487, -0.21, -0.40, 1.06

7526, 0.17, -0.45, 0.59

7565, -0.11, -0.77, 0.82

7604, -0.07, -0.71, 0.85

7644, 0.07, -1.10, 0.27

7682, 0.23, -1.38, -0.36

7721, -0.30, -1.45, -0.87

7762, 0.11, -0.73, -0.08

7801, 0.52, -1.16, 0.70

7840, -0.27, -0.98, -0.14

7880, -0.53, -1.63, -0.86

7921, 0.13, -1.23, -0.30

7961, 0.62, -0.34, 0.60

7999, 0.27, -1.06, 0.64

8038, -0.32, -1.23, -0.07

