time(s), x(g), y(g), z(g)
88468, 0.10, -1.07, -0.11

88521, 0.10, -1.07, -0.10

time(s), x(g), y(g), z(g)
201, 0.10, -1.06, -0.11

254, 0.10, -1.06, -0.10

308, 0.10, -1.06, -0.10

361, 0.10, -1.06, -0.11

414, 0.10, -1.06, -0.10

467, 0.10, -1.06, -0.10

521, 0.11, -1.07, -0.10

574, 0.10, -1.07, -0.10

628, 0.10, -1.07, -0.11

681, 0.10, -1.07, -0.11

735, 0.11, -1.06, -0.11

788, 0.11, -1.07, -0.10

841, 0.10, -1.07, -0.10

894, 0.10, -1.06, -0.11

948, 0.10, -1.06, -0.11

1001, 0.11, -1.06, -0.10

1054, 0.10, -1.07, -0.10

1107, 0.10, -1.06, -0.11

1161, 0.11, -1.07, -0.10

1214, 0.10, -1.06, -0.11

1267, 0.10, -1.06, -0.10

1320, 0.10, -1.06, -0.10

1374, 0.11, -1.06, -0.10

1427, 0.10, -1.07, -0.11

1480, 0.11, -1.06, -0.10

1534, 0.10, -1.07, -0.10

1588, 0.10, -1.07, -0.10

1641, 0.10, -1.06, -0.10

1694, 0.10, -1.06, -0.10

1747, 0.10, -1.06, -0.10

1801, 0.11, -1.06, -0.10

1854, 0.10, -1.07, -0.10

1907, 0.10, -1.07, -0.11

1960, 0.10, -1.06, -0.10

2014, 0.10, -1.07, -0.10

2067, 0.10, -1.06, -0.10

2120, 0.11, -1.06, -0.11

2173, 0.10, -1.07, -0.11

2228, 0.10, -1.06, -0.11

2281, 0.10, -1.06, -0.11

2334, 0.10, -1.07, -0.10

2387, 0.10, -1.06, -0.11

2441, 0.10, -1.06, -0.10

2494, 0.11, -1.07, -0.11

2547, 0.10, -1.06, -0.10

2600, 0.10, -1.06, -0.11

2654, 0.11, -1.07, -0.10

2707, 0.10, -1.07, -0.10

2760, 0.10, -1.06, -0.10

2813, 0.11, -1.06, -0.10

2867, 0.11, -1.07, -0.11

2921, 0.10, -1.06, -0.10

2974, 0.11, -1.06, -0.10

3027, 0.10, -1.06, -0.11

3081, 0.10, -1.07, -0.11

3134, 0.10, -1.06, -0.11

3187, 0.10, -1.06, -0.11

