time(s), x(g), y(g), z(g)
201, -0.02, -0.09, 0.90

504, -0.02, -0.09, 0.90

808, -0.02, -0.09, 0.89

1112, -0.02, -0.09, 0.89

1415, -0.02, -0.09, 0.89

1718, -0.02, -0.09, 0.89

2021, -0.02, -0.09, 0.89

2325, -0.01, -0.09, 0.90

2628, -0.02, -0.09, 0.89

2931, -0.02, -0.09, 0.89

3234, -0.02, -0.09, 0.89

3537, -0.01, -0.09, 0.91

3841, -0.02, -0.09, 0.90

4145, -0.02, -0.10, 0.89

4448, 0.13, -0.05, 1.27

4751, -0.10, -0.09, 1.05

5054, -0.67, -0.96, 1.65

5358, -0.84, -1.34, 1.89

5661, -0.78, -0.84, 1.63

5964, -0.71, -0.62, 1.55

6267, -0.48, -0.18, 1.04

6571, -0.15, 0.57, 0.07

6875, 0.57, 1.33, -0.50

7178, 0.46, 1.08, -0.43

7481, -0.29, 0.05, 0.59

7784, -0.75, -0.97, 1.73

8087, -0.74, -0.79, 1.79

8391, -0.19, 0.21, 0.75

8694, 0.21, 1.00, -0.01

8997, 0.27, 0.82, 0.23

9300, -0.29, -0.07, 0.84

9605, 0.16, 0.29, 0.48

9908, -0.01, -0.09, 0.90

10211, -0.03, -0.08, 0.90

10514, -0.03, -0.07, 0.90

10817, -0.03, -0.07, 0.89

11121, -0.03, -0.07, 0.90

11424, -0.03, -0.07, 0.90

11727, -0.04, -0.07, 0.90

12030, -0.04, -0.08, 0.90

12335, -0.03, -0.08, 0.89

12638, -0.03, -0.07, 0.90

12941, -0.03, -0.07, 0.90

13244, -0.03, -0.07, 0.89

13548, -0.04, -0.07, 0.89

13851, -0.03, -0.08, 0.90

14154, -0.03, -0.07, 0.89

14457, -0.03, -0.08, 0.90

14761, -0.03, -0.07, 0.89

15065, -0.03, -0.08, 0.89

15368, -0.03, -0.08, 0.90

15671, -0.03, -0.07, 0.89

15975, -0.03, -0.08, 0.90

16278, -0.03, -0.08, 0.89

16581, -0.03, -0.08, 0.89

16884, -0.03, -0.07, 0.89

17187, -0.03, -0.08, 0.89

17491, -0.03, -0.07, 0.89

17795, -0.03, -0.07, 0.89

18098, -0.03, -0.08, 0.90

18401, -0.03, -0.07, 0.89

18705, -0.03, -0.07, 0.89

19008, -0.03, -0.07, 0.89

19311, -0.03, -0.08, 0.89

19614, -0.02, -0.07, 0.90

19918, -0.03, -0.07, 0.90

20221, -0.03, -0.08, 0.89

20525, -0.03, -0.08, 0.89

20828, -0.03, -0.07, 0.89

21132, -0.03, -0.08, 0.90

21435, -0.03, -0.07, 0.90

21738, -0.03, -0.07, 0.90

22041, -0.03, -0.07, 0.89

22345, -0.03, -0.08, 0.90

22648, -0.03, -0.08, 0.90

22951, -0.03, -0.08, 0.89

23255, -0.03, -0.08, 0.90

23559, -0.03, -0.08, 0.89

23862, -0.03, -0.07, 0.89

24165, -0.03, -0.07, 0.90

24468, -0.03, -0.07, 0.89

24772, -0.03, -0.07, 0.89

25075, -0.03, -0.08, 0.90

25378, -0.03, -0.07, 0.89

25681, -0.03, -0.07, 0.89

25986, -0.03, -0.07, 0.89

26289, -0.03, -0.08, 0.90

26592, -0.03, -0.07, 0.90

26895, -0.03, -0.08, 0.90

27198, -0.03, -0.08, 0.90

27502, -0.03, -0.07, 0.89

27805, -0.03, -0.08, 0.90

28108, -0.03, -0.08, 0.89

28411, -0.03, -0.07, 0.90

28716, -0.03, -0.07, 0.89

29019, -0.04, -0.07, 0.89

29322, -0.03, -0.08, 0.89

29625, -0.03, -0.08, 0.90

29929, -0.03, -0.07, 0.90

30232, -0.02, -0.07, 0.90

30535, -0.03, -0.08, 0.89

30838, -0.03, -0.07, 0.90

31142, -0.03, -0.07, 0.89

31446, -0.03, -0.08, 0.89

31749, -0.03, -0.08, 0.89

32052, -0.03, -0.08, 0.90

32356, -0.02, -0.08, 0.90

32659, -0.03, -0.07, 0.89

-32574, -0.03, -0.07, 0.89

-32271, -0.03, -0.07, 0.89

-31967, -0.03, -0.07, 0.90

-31664, -0.03, -0.07, 0.90

-31360, -0.03, -0.07, 0.90

-31057, -0.03, -0.07, 0.90

-30753, -0.03, -0.07, 0.90

-30450, -0.03, -0.07, 0.89

-30147, -0.03, -0.07, 0.90

-29844, -0.03, -0.07, 0.89

-29540, -0.03, -0.08, 0.90

-29237, -0.03, -0.08, 0.89

-28934, -0.03, -0.08, 0.89

-28631, -0.04, -0.07, 0.90

-28326, -0.03, -0.07, 0.90

-28023, -0.03, -0.07, 0.89

-27720, -0.03, -0.07, 0.89

-27417, -0.02, -0.08, 0.90

-27113, -0.03, -0.08, 0.90

-26810, -0.03, -0.07, 0.90

-26507, -0.03, -0.07, 0.89

-26204, -0.03, -0.07, 0.90

-25900, -0.03, -0.08, 0.90

-25596, -0.03, -0.08, 0.90

-25293, -0.03, -0.08, 0.89

-24990, -0.03, -0.07, 0.89

-24686, -0.03, -0.08, 0.90

-24383, -0.03, -0.07, 0.90

-24080, -0.03, -0.07, 0.90

-23777, -0.03, -0.07, 0.90

-23473, -0.03, -0.07, 0.90

-23170, -0.03, -0.08, 0.89

-22866, -0.03, -0.07, 0.90

-22563, -0.03, -0.08, 0.89

-22259, -0.03, -0.08, 0.90

-21956, -0.03, -0.07, 0.89

-21653, -0.03, -0.08, 0.90

-21350, -0.03, -0.08, 0.89

-21047, -0.03, -0.08, 0.91

-20743, -0.03, -0.08, 0.89

-20440, -0.03, -0.07, 0.90

-20136, -0.03, -0.07, 0.89

-19833, -0.03, -0.07, 0.90

-19529, -0.03, -0.08, 0.89

-19226, -0.03, -0.08, 0.89

-18923, -0.03, -0.07, 0.89

-18620, -0.03, -0.07, 0.89

-18316, -0.03, -0.08, 0.89

-18013, -0.02, -0.08, 0.90

