time(s), x(g), y(g), z(g)
186702, 0.11, -1.06, -0.10

186756, 0.11, 0.11, -1.06
186649, 0.11, -1.06, -0.10

186702, 0.11, -1.06, -0.10

186756, 0.11, 0.11, -1.06
186649, 0.11, -1.06, -0.10

186702, 0.11, -1.06, -0.10

time(s), x(g), y(g), z(g)
time(s), x(g), y(g), z(g)
201, 0.11, -1.06, -0.09

254, 0.11, -1.06, -0.10

308, 0.11, -1.06, -0.10

361, 0.11, -1.06, -0.10

414, 0.11, -1.07, -0.10

467, 0.11, -1.07, -0.11

522, 0.11, -1.06, -0.10

575, 0.11, -1.07, -0.10

628, 0.11, -1.07, -0.11

681, 0.11, -1.06, -0.09

735, 0.11, -1.07, -0.10

788, 0.11, -1.06, -0.10

841, 0.11, -1.06, -0.10

894, 0.11, -1.06, -0.10

948, 0.11, -1.06, -0.10

1001, 0.11, -1.07, -0.10

1054, 0.11, -1.07, -0.10

1107, 0.11, -1.06, -0.10

1161, 0.11, -1.06, -0.10

1214, 0.11, -1.07, -0.09

1267, 0.11, -1.06, -0.09

1320, 0.11, -1.06, -0.10

1374, 0.11, -1.07, -0.10

1427, 0.11, -1.06, -0.10

1481, 0.11, -1.07, -0.10

1534, 0.11, -1.06, -0.10

1588, 0.11, -1.06, -0.09

1641, 0.11, -1.06, -0.10

1694, 0.11, -1.07, -0.09

1747, 0.11, -1.06, -0.10

1801, 0.11, -1.06, -0.10

1854, 0.11, -1.06, -0.09

1907, 0.11, -1.06, -0.10

1960, 0.11, -1.06, -0.10

2014, 0.11, -1.06, -0.10

2067, 0.11, -1.07, -0.10

2120, 0.11, -1.07, -0.09

2174, 0.11, -1.06, -0.10

2228, 0.10, -1.06, -0.10

2281, 0.11, -1.07, -0.10

2334, 0.11, -1.07, -0.10

2387, 0.11, -1.06, -0.10

2441, 0.11, -1.07, -0.11

2494, 0.11, -1.07, -0.10

2547, 0.11, -1.07, -0.11

2600, 0.11, -1.06, -0.10

2654, 0.11, -1.07, -0.10

2707, 0.11, -1.06, -0.11

2760, 0.10, -1.06, -0.10

2814, 0.10, -1.07, -0.10

2868, 0.10, -1.06, -0.10

2921, 0.11, -1.06, -0.10

2974, 0.11, -1.07, -0.10

3027, 0.11, -1.06, -0.09

3081, 0.11, -1.06, -0.10

3134, 0.58, -0.93, -0.20

3187, -0.08, -1.02, -0.08

3240, 0.10, -1.07, -0.09

3294, 0.13, -1.07, 0.12

3347, 0.09, -1.07, -0.09

3400, 0.13, -1.10, 0.07

3453, 0.16, -1.00, -0.12

3508, -0.05, -1.04, -0.32

3561, 0.19, -1.07, -0.01

3614, 0.20, -1.09, -0.11

3667, 0.06, -1.05, -0.26

3721, 0.31, -1.11, -0.12

3774, 0.14, -1.02, -0.14

3827, 0.11, -1.07, -0.05

3880, 0.34, -1.06, 0.03

3934, 0.16, -1.11, 0.03

3987, 0.19, -1.08, -0.09

4040, 0.05, -1.05, -0.17

4093, -0.01, -1.05, -0.15

4147, -0.00, -1.04, -0.20

4201, 0.03, -1.07, -0.01

4254, 0.25, -1.10, 0.04

4307, 0.19, -1.09, 0.03

4361, -0.07, -1.16, -0.27

4414, 0.23, -1.07, 0.09

4467, -0.04, -1.06, -0.19

4520, 0.08, -1.05, -0.11

4574, 0.04, -1.06, 0.07

4627, 0.16, -1.14, -0.02

4680, 0.18, -1.03, -0.07

4733, 0.01, -1.10, -0.14

4787, 0.11, -0.98, -0.09

4840, -0.18, -1.03, -0.42

4894, 0.26, -1.04, 0.03

4947, 0.26, -0.99, 0.08

5001, 0.16, -1.10, -0.06

5054, 0.13, -1.03, -0.14

5107, -0.01, -1.10, -0.14

5160, 0.19, -0.96, 0.04

5214, 0.02, -1.00, -0.19

5267, -0.01, -1.08, -0.16

5320, -0.04, -0.99, -0.21

5373, 0.11, -1.07, -0.11

5427, -0.05, -1.06, -0.19

5480, 0.13, -1.09, -0.08

5533, -0.07, -1.10, 0.04

5587, 0.24, -1.08, 0.04

5641, 0.25, -1.08, 0.04

5694, -0.03, -1.13, -0.17

5747, 0.25, -1.09, -0.10

5800, -0.11, -1.05, -0.25

5854, 0.04, -1.05, -0.20

5907, 0.18, -1.05, 0.10

5960, 0.12, -1.07, 0.00

6013, -0.05, -1.06, -0.23

6067, 0.00, -1.07, -0.11

6120, 0.10, -1.04, -0.12

6173, 0.01, -1.02, -0.20

6226, 0.12, -1.04, -0.12

6280, -0.00, -1.00, -0.15

6334, 0.21, -1.07, -0.03

6387, 0.03, -1.07, -0.21

6440, 0.11, -1.05, -0.16

6494, -0.05, -1.00, -0.20

6547, 0.10, -1.04, -0.12

6600, 0.18, -1.09, -0.02

6653, -0.01, -1.10, -0.29

6707, 0.10, -1.04, -0.10

6760, 0.04, -1.09, -0.23

6813, 0.12, -1.05, -0.17

6866, 0.00, -1.09, 0.12

6920, 0.20, -1.10, -0.02

6973, 0.16, -1.09, -0.12

7027, -0.02, -1.05, -0.21

7080, 0.01, -1.03, -0.05

7134, 0.13, -1.04, -0.18

7187, 0.16, -1.07, -0.15

7240, 0.16, -1.08, 0.11

7293, 0.07, -1.04, 0.00

7347, 0.05, -1.07, -0.27

7400, -0.10, -1.06, -0.20

7453, 0.14, -1.07, -0.03

7506, 0.23, -1.01, 0.03

7560, 0.29, -1.14, 0.06

7613, 0.12, -1.06, -0.15

7666, -0.11, -1.07, -0.29

7720, 0.20, -1.06, -0.04

7774, 0.16, -1.09, -0.18

7827, -0.00, -1.03, -0.15

7880, 0.20, -1.12, 0.00

7933, 0.18, -1.11, -0.10

7987, -0.01, -1.10, -0.16

8040, 0.22, -1.08, -0.02

8093, 0.19, -1.06, -0.13

8146, 0.21, -1.05, -0.06

8200, 0.12, -1.08, -0.09

8253, 0.04, -1.09, -0.20

8306, 0.07, -1.00, -0.18

8359, -0.08, -1.04, -0.19

8414, 0.07, -1.04, -0.17

8467, 0.38, -1.04, 0.15

8520, -0.01, -1.07, -0.21

8573, 0.31, -1.05, -0.20

8627, -0.09, -1.07, -0.23

8680, 0.14, -1.01, 0.02

8733, 0.22, -1.07, 0.05

8786, 0.07, -1.10, -0.13

8840, 0.20, -1.07, -0.05

8893, -0.12, -1.01, -0.28

8946, 0.06, -1.16, -0.16

8999, 0.25, -1.08, -0.03

9053, 0.08, -1.09, 0.01

9107, 0.13, -1.02, -0.06

9160, 0.03, -1.07, -0.16

9213, 0.07, -1.11, -0.12

9267, 0.12, -1.08, -0.01

9320, 0.21, -1.02, -0.03

9373, 0.10, -1.05, -0.12

9426, 0.21, -1.09, 0.07

9480, 0.03, -1.08, -0.23

9533, 0.15, -1.09, -0.11

9586, 0.09, -1.07, 0.01

9639, 0.04, -1.02, -0.17

9693, 0.00, -1.06, -0.18

9746, 0.09, -1.13, -0.18

9800, 0.25, -1.07, -0.03

9853, 0.22, -1.08, 0.06

9907, 0.07, -1.03, -0.12

9960, 0.12, -1.02, -0.19

10013, 0.23, -1.11, 0.07

10066, 0.23, -1.12, 0.01

10120, 0.15, -1.17, -0.14

10173, 0.29, -1.13, 0.09

10226, 0.12, -1.04, -0.14

10279, 0.06, -1.02, -0.19

10334, 0.15, -1.06, -0.02

10387, -0.01, -1.05, 0.02

10440, 0.11, -1.09, 0.01

10493, 0.05, -1.01, -0.15

10547, 0.18, -1.02, -0.10

10600, 0.19, -1.13, 0.01

10653, 0.34, -1.08, 0.07

10706, -0.11, -1.14, -0.26

10761, 0.08, -1.09, -0.01

10814, 0.27, -1.07, -0.02

10867, -0.02, -1.13, 0.03

10920, 0.23, -1.00, -0.01

10974, -0.02, -1.09, -0.21

11027, 0.02, -1.07, -0.20

11080, 0.12, -1.07, 0.02

11133, 0.29, -1.05, -0.03

11187, 0.02, -1.06, -0.15

11241, -0.13, -0.89, -0.14

11294, 0.28, -0.61, 0.53

11347, 0.05, -1.11, -0.25

11401, 0.52, -1.18, 0.05

11454, 0.14, -1.12, -0.06

11507, -0.23, -0.75, 0.13

11560, -0.37, -1.23, -0.14

11614, 0.21, -0.86, 0.79

11668, 1.37, -0.86, 1.27

11721, 0.06, -1.18, 0.43

11774, -0.38, -1.41, -0.80

11828, 0.63, -1.34, 0.61

11881, -1.11, 0.13, -1.20

11934, -1.71, -1.33, -2.00

11987, 2.00, -0.14, 2.00

12042, -1.68, -0.48, -1.25

12095, 0.63, -1.16, 0.33

12148, -1.52, -1.24, -1.39

12201, 1.92, -1.07, 2.00

12255, 0.23, -0.27, 1.11

12308, 1.66, -0.32, 2.00

12361, -0.84, -1.36, -0.73

12414, -0.11, -0.81, 0.10

12469, 1.27, -1.24, 0.91

12522, 1.45, -0.88, 2.00

12575, 2.00, -0.86, 2.00

12628, 2.00, -0.52, 2.00

12682, -2.00, -1.89, -2.00

12735, -1.55, -0.91, -1.59

12788, 2.00, -0.47, 1.54

12841, -2.00, -1.96, -2.00

12896, 1.52, -0.95, 0.97

12949, -2.00, -1.37, -2.00

13002, 0.06, -0.89, 0.05

13056, -1.90, -1.44, -2.00

13109, -0.56, -0.84, -0.68

13162, -1.94, -1.64, -2.00

13215, -1.27, -0.79, -0.88

13268, 2.00, -0.61, -1.71

13323, -0.58, -0.95, -0.93

13376, 2.00, -0.62, 2.00

13429, -0.55, -1.01, -0.85

13483, 2.00, -0.88, 2.00

13536, -0.86, -0.85, -0.66

13589, 2.00, -0.86, 2.00

13642, -1.16, -1.12, -1.05

13697, 2.00, -0.89, 2.00

13750, -2.00, -1.22, -1.51

13803, 2.00, -1.04, 2.00

13856, -1.58, -1.72, -2.00

13910, 2.00, -0.96, 2.00

13963, -1.87, -1.54, -2.00

14016, 2.00, -0.86, 2.00

14069, -2.00, -1.22, -1.89

14124, 2.00, -0.65, 2.00

14177, -1.16, -1.45, -1.58

14230, -0.36, -1.05, 2.00

14283, -1.48, -1.40, -1.48

14337, -0.78, -1.24, -1.49

14390, -0.36, -1.12, -0.78

14443, -1.22, -0.93, -1.62

14497, -0.62, -1.27, -0.78

14551, -2.00, -1.16, -2.00

14604, -0.06, -1.09, 0.03

14657, -2.00, -1.18, -2.00

14710, 2.00, -0.90, 0.47

14764, -1.79, -1.26, -2.00

14817, 2.00, -0.77, 2.00

14870, -1.46, -1.61, -2.00

14924, 2.00, -0.85, 2.00

14978, -1.14, -1.20, -2.00

15031, 2.00, -0.95, 2.00

15084, -0.82, -0.88, -1.19

15137, 2.00, -0.44, 2.00

15191, -2.00, -0.92, -0.73

15244, 2.00, -0.82, 2.00

15297, -2.00, -1.73, -2.00

15351, 2.00, -0.73, 2.00

15405, -2.00, -1.68, -2.00

15458, 1.79, -0.92, 1.52

15511, -2.00, -1.51, -2.00

15564, 1.51, -0.77, 1.70

15618, -2.00, -1.46, -2.00

15671, 2.00, -0.83, 0.39

15724, -1.92, -1.03, -1.55

15778, 2.00, -0.59, 2.00

15832, -0.97, -1.12, -1.32

15885, 2.00, -0.86, 2.00

15938, -0.35, -0.81, -0.25

15991, 2.00, -0.75, 2.00

16045, 0.63, -0.70, 0.62

16098, 1.73, -1.02, 1.77

16152, -2.00, -0.57, 1.42

16205, 0.78, -0.90, 1.01

16259, -2.00, -1.40, -2.00

16312, 0.03, -0.93, 0.07

16365, -1.75, -0.88, -1.58

16418, -0.47, -1.34, -0.93

16472, -1.43, -0.80, -1.42

16525, -1.12, -1.09, -1.07

16579, -1.19, -0.77, -1.07

16632, 2.00, -1.46, -1.25

16686, -1.81, -0.91, -1.47

16739, 2.00, -0.57, 2.00

16792, -1.04, -0.74, -0.91

16845, 2.00, -0.38, 2.00

16899, -0.47, -0.77, -0.51

16952, 2.00, -0.60, 2.00

17006, -0.29, -0.73, 0.23

17059, 2.00, -0.60, 2.00

17113, -2.00, -0.55, 1.11

17166, 1.78, -0.86, 1.88

17219, -2.00, -1.66, -2.00

17272, 0.06, -0.70, 0.34

17326, -1.68, -1.23, -1.63

17379, -0.64, -1.17, -0.71

17433, -0.70, -0.68, 0.02

17486, -2.00, -1.54, -2.00

17540, 0.52, -0.36, 1.18

17593, 0.60, -1.88, -2.00

17646, 2.00, -0.71, 2.00

17699, -0.33, -0.99, -0.37

17753, 2.00, -1.06, 2.00

17807, -1.59, -1.41, -2.00

17860, 2.00, -0.98, 2.00

17913, -1.73, -1.81, -2.00

17967, 1.81, -0.90, 2.00

18020, -1.91, -1.77, -2.00

18073, 2.00, -0.73, 1.00

18126, -1.99, -1.39, -2.00

18180, 2.00, -0.64, 2.00

18234, -0.25, -1.14, -0.62

18287, 2.00, -0.62, 2.00

18340, 0.43, -0.54, 0.94

18394, 1.10, -0.73, 1.46

18447, 2.00, -0.68, 2.00

18500, -0.69, -0.97, -0.43

